"title","link","authors","journal","primary-field","secondary-field","best-part","second-best-part","about","ip","user_agent","referrer","created_at"
"Why Isn't the Whole World Developed? Lessons from the Cotton Mills","http://faculty.econ.ucdavis.edu/faculty/gclark/210a/readings/clark-why.pdf","Gregory Clark","The Journal of Economic History","History","Development","Results","Motivation","Clark is an incisive, iconoclastic writer and, in his early years as an economic historian, was unafraid to ask big questions and offer controversial answers. Using data on cotton spinning in a range of developed and developing countries in the early 20th century, Clark convincingly rules out capital-labor substitution, technological differences, management, and formal human capital—in short, all the textbook theories of differential development—as explanations for international productivity differences. Few (if any) papers in economic history or development satisfactorily came to grips with the challenge he presents. I've probably thought about this paper more than any other—trying to find some way around his critique, without success. ","73.15.7.132","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.5112.81 Safari/537.36 Edg/104.0.1293.54","https://great-economics-writing.netlify.app/","2022-08-14T21:48:08.079Z"
"Let's Take the Con Out of Econometrics","","Leamer","The American Economic Review","Econometrics","None Selected","Introduction","Theory","One of the many papers connecting experimental and observational methods. The author is generally jolly. I am not fully convinced of his philosophical thesis of uncertainty estimation, but they became the mainstream in my field","151.47.131.37","Mozilla/5.0 (Linux; Android 11; AC2003) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Mobile Safari/537.36","https://great-economics-writing.netlify.app/","2022-08-14T20:07:33.876Z"
"On the Mechanics of Economic Development","","Robert E. Lucas","Journal of Monetary Economics","Development","Theory","None Selected","None Selected","Most cited paper in economics. In part because of how well written it is","162.210.194.38","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36","https://great-economics-writing.netlify.app/","2022-08-14T19:32:23.432Z"
"How Acquisitions Affect Firm Behavior and Performance: Evidence from the Dialysis Industry","https://faculty.fuqua.duke.edu/~rcm26/ESRD_mergers.pdf","Paul J Eliason,  Benjamin Heebsh,  Ryan C McDevitt,  James W Roberts","The Quarterly Journal of Economics","IO","None Selected","Empirical Strategy","Data","Great interweaving of how the context and the data informs the empirical strategy","73.243.208.68","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.5 Safari/605.1.15","https://great-economics-writing.netlify.app/","2022-08-14T17:06:59.642Z"
"Robust Empirical Bayes Confidence Intervals","https://www.princeton.edu/~mkolesar/papers/ebci.pdf","Tim Armstrong, Michal Kolesár, Mikkel Plagborg-Møller","Econometrica","Econometrics","None Selected","Theory","Results","Very clearly written paper on constructing confidence intervals for empirical Bayes problems","24.62.76.57","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36","https://great-economics-writing.netlify.app/","2022-08-14T16:30:38.014Z"
"Of Mice and Merchants","https://users.ox.ac.uk/~econ0360/FerdinandRauch/Coasts.pdf","Jan David Bakker, Stephan Maurer, Jörn-Steffen Pishke, Ferdinand Rauch","ReStat","Urban","Trade","Introduction","Motivation","interweavement of history, motivation, and contribution in the introduction","192.41.114.230","Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:103.0) Gecko/20100101 Firefox/103.0","https://great-economics-writing.netlify.app/","2022-08-14T15:16:26.572Z"
"The Colonial Origins of Comparative Development: An Empirical Investigation","https://economics.mit.edu/files/4123","Acemoglu, Johnson, Robinson","AER","Development","History","Introduction","None Selected","","95.124.192.36","Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:103.0) Gecko/20100101 Firefox/103.0","https://great-economics-writing.netlify.app/","2022-08-14T14:39:21.577Z"
"Of Mice and Merchants: Connectedness and the Location of Economic Activity in the Iron Age ","https://direct.mit.edu/rest/article/103/4/652/97649/Of-Mice-and-Merchants-Connectedness-and-the","Bakker, Maurer, Pischke, Rauch","Review of Economics and Statistics","History","Trade","Introduction","Data","","95.124.192.36","Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:103.0) Gecko/20100101 Firefox/103.0","https://great-economics-writing.netlify.app/","2022-08-14T14:38:12.129Z"
"The effect of immigration along the distribution of wages","https://academic.oup.com/restud/article-abstract/80/1/145/1596869","Christian Dustmann, Tommaso Frattini, Ian Preston","The Review of Economic Studies","Labor","None Selected","Theory","None Selected","I love the way the authors connect the theory with empirical findings. They made very clear how to depart from the structural model and make the needed assumptions to estimate the reduced form parameters.  ","2804:431:c7f9:95f6:28ea:8644:f373:a403","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:103.0) Gecko/20100101 Firefox/103.0","https://great-economics-writing.netlify.app/","2022-08-14T14:03:47.453Z"
"The Effects of Pretrial Detention on Conviction, Future Crime, and Employment: Evidence from Randomly Assigned Judges","https://www.aeaweb.org/articles?id=10.1257/aer.20161503","Will Dobbie, Jacob Goldin, Crystal S. Yang","American Economic Review","Crime","Econometrics","Empirical Strategy","Introduction","This paper does a very beautiful job explaining their empirical strategy in very clear terms with illustrative examples","73.243.208.68","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.5 Safari/605.1.15","https://great-economics-writing.netlify.app/","2022-08-14T13:58:50.191Z"
